external_id;channel;category;module;subject;description;author_role;status;created_at;closed_at;tags;comments_json
IB-20011;chatbot;Платежи;Платежи;Двойное списание за коммуналку;Клиент видит две одинаковые транзакции;client;resolved;2026-04-05T11:00:00;2026-04-05T14:00:00;дублирование;[{"author_role":"support_l2","content":"Это known-issue IB-117 — провайдер дублирует. Возврат автоматический в течение 48 часов","created_at":"2026-04-05T13:00:00","is_internal":false}]
IB-20012;mobile;Карты;Карты;Лимит на снятие в банкомате — где увеличить;Клиент хочет снять 200к, лимит 100к;client;resolved;2026-04-05T16:00:00;2026-04-05T16:20:00;лимиты;[{"author_role":"support_l1","content":"Карты → выбрать карту → «Лимиты и ограничения» → «Снятие в банкомате» → увеличить","created_at":"2026-04-05T16:15:00","is_internal":false}]
IB-20013;chatbot;Push-уведомления;Push-уведомления;Пуши приходят с задержкой 10 минут;Клиент видит транзакцию в выписке раньше, чем в push;client;resolved;2026-04-06T10:00:00;2026-04-06T15:00:00;задержка;[{"author_role":"support_l2","content":"Известная проблема при энергосбережении на Android — отключите Battery Saver для приложения","created_at":"2026-04-06T14:00:00","is_internal":false}]
IB-20014;phone;Переводы;Переводы;Деньги по СБП не дошли получателю;Прошёл час, на стороне получателя ничего;client;resolved;2026-04-06T13:00:00;2026-04-06T16:00:00;sbp|потеря;[{"author_role":"support_l2","content":"Транзакция в статусе «Проведена» — деньги у получателя. Возможно, фильтр по реквизиту","created_at":"2026-04-06T15:30:00","is_internal":false}]
IB-20015;mobile;Авторизация;Авторизация;При смене телефона потерял доступ к приложению;Клиент сменил телефон не привязал;client;resolved;2026-04-07T09:00:00;2026-04-07T11:00:00;смена_устройства;[{"author_role":"support_l1","content":"Нужно отделение либо звонок 900 → подтверждение по паспорту → SMS на новый номер","created_at":"2026-04-07T10:00:00","is_internal":false}]
IB-20016;chatbot;Кэшбек;Кэшбек;Кэшбек начислили в баллах хочу деньгами;Клиент думал что начисляют рублями;client;resolved;2026-04-07T14:00:00;2026-04-07T14:15:00;деньги|баллы;[{"author_role":"support_l1","content":"На тарифе «Базовый» — баллами. Чтобы рублями — перейти на «Премиум»","created_at":"2026-04-07T14:10:00","is_internal":false}]
IB-20017;mobile;Карты;Карты;Не оплачивается Apple Pay;Карта добавлена но при оплате «Не подтверждено»;client;resolved;2026-04-08T09:00:00;2026-04-08T11:00:00;apple_pay;[{"author_role":"support_l1","content":"Удалите карту из Wallet, переоткройте Wallet → Добавить карту. Часто помогает","created_at":"2026-04-08T10:00:00","is_internal":false}]
IB-20018;chatbot;Переводы;Переводы;Перевод за границу — не понимает SWIFT;Клиент не может ввести IBAN;client;resolved;2026-04-08T13:00:00;2026-04-08T13:30:00;swift|iban;[{"author_role":"support_l1","content":"Переводы за границу временно недоступны для физлиц до отмены ограничений","created_at":"2026-04-08T13:20:00","is_internal":false}]
IB-20019;mobile;Платежи;Платежи;Оплата ЖКХ — нет нужного поставщика;Клиент не находит свой ТСЖ;client;resolved;2026-04-09T10:00:00;2026-04-09T11:00:00;поставщик;[{"author_role":"support_l1","content":"Можно оплатить по реквизитам (КБК, расчётный счёт) — раздел «Платежи → По реквизитам»","created_at":"2026-04-09T10:45:00","is_internal":false}]
IB-20020;phone;Авторизация;Авторизация;Вход через Госуслуги не работает;Клиент пробует ЕСИА, выкидывает на ошибку;client;resolved;2026-04-09T12:00:00;2026-04-09T13:30:00;esia;[{"author_role":"support_l2","content":"Технический сбой ЕСИА с 11:00, восстановление до 14:00","created_at":"2026-04-09T12:30:00","is_internal":false}]
